zip,donations,estimate,total,donations_per_1000
20601,6976,25517,190404.72999999975,273.38636987106634
20602,6758,26550,109716.81999999996,254.53860640301318
20603,12854,31975,248108.6100000006,402.00156372165753
20606,11,374,131.43,29.41176470588235
20607,6889,10843,181393.81000000043,635.3407728488426
20608,337,860,2569.720000000003,391.8604651162791
20609,61,1151,2290,52.99739357080799
20611,46,1634,1206,28.151774785801713
20612,21,203,399.17,103.44827586206897
20613,6436,14020,170352.85000000012,459.0584878744651
20615,25,421,633,59.38242280285035
20616,1703,6389,38740.899999999994,266.5518860541556
20617,274,832,7542.26,329.3269230769231
20618,313,406,6069.32,770.935960591133
20619,2733,15052,63659.01000000006,181.57055540791922
20620,393,1369,7357.65,287.0708546384222
20621,66,960,967,68.75
20622,356,6887,8922.109999999999,51.69159285610571
20623,2075,2997,33616.96000000001,692.3590256923591
20624,60,1409,795,42.583392476933994
20625,454,646,9224.020000000004,702.7863777089783
20626,240,304,3636.8600000000006,789.4736842105264
20628,43,477,12163.26,90.14675052410902
20629,37,383,813,96.60574412532637
20630,371,301,24333.75,1232.5581395348836
20632,21,432,2812.5,48.611111111111114
20634,1095,6478,27256.079999999944,169.03365236184007
20636,2316,10805,58391.37,214.345210550671
20637,2083,5751,40167.06999999999,362.19787862980354
20639,3313,15793,119571.28999999998,209.77648325207372
20640,1569,10333,24599.82999999998,151.84360785831802
20645,199,749,10778.3,265.6875834445928
20646,5566,21951,130374.95000000004,253.56475786980093
20650,3964,14672,144375.84000000023,270.1744820065431
20653,3608,24274,81705.0799999999,148.6364010875834
20657,5067,19226,125720.03000000009,263.54936024133985
20658,288,848,10475.370000000004,339.62264150943395
20659,2061,23312,66697.38,88.40940288263555
20660,5,0,190,Inf
20662,316,2876,3207.0199999999995,109.87482614742699
20664,225,3462,19794.23,64.99133448873484
20667,37,633,1525.39,58.45181674565561
20670,100,1441,2542.67,69.39625260235947
20674,355,848,9889.67,418.6320754716981
20675,265,2017,13192.1,131.38324243926624
20676,4042,3848,51759.59,1050.4158004158005
20677,666,2416,19220.51,275.6622516556291
20678,2380,12261,49224.85999999996,194.11141016230323
20680,87,934,6197.360000000001,93.14775160599571
20684,90,1066,3067.24,84.42776735459661
20685,2422,6942,44961.41000000005,348.8908095649669
20686,776,1775,26377.35,437.1830985915493
20687,80,448,2937.49,178.57142857142858
20688,3855,1749,84676.29000000008,2204.1166380789023
20689,201,2081,18325.74,96.58817876021143
20690,697,905,10894.629999999992,770.1657458563535
20692,161,899,5585.110000000001,179.08787541713014
20693,226,833,5676.370000000001,271.3085234093637
20695,4407,8089,98344.96999999994,544.8139448633948
20701,127,92,5610.76,1380.4347826086955
20705,8949,27663,263127.96999999945,323.5007049126993
20706,12313,43670,314519.8699999994,281.95557591023584
20707,16759,32798,392772.42999999854,510.97627904140495
20708,7135,27843,155413.97000000026,256.258305498689
20710,645,9553,28141.24,67.51805715482047
20711,1572,7413,67949.20999999996,212.05989477944152
20712,4346,9608,127500.21000000004,452.33139050791004
20714,2108,4683,41288.52999999997,450.13879991458464
20715,17641,27556,314771.77000000153,640.1872550442735
20716,9976,22237,277360.8199999999,448.62166659171646
20720,17274,22971,545108.1899999978,751.9916416351051
20721,27247,29730,1016134.5099999992,916.4816683484696
20722,4938,5728,57960.55000000015,862.0810055865921
20723,12363,35411,402577.18000000034,349.12880178475615
20724,6276,17513,110552.95999999986,358.3623593901673
20732,4164,9820,104842.46,424.03258655804484
20733,1910,2777,50651.11,687.7925819229384
20735,15308,38220,316990.6299999999,400.52328623757194
20736,3030,9248,72934.04000000002,327.6384083044982
20737,3706,22295,102120.56000000011,166.2256111235703
20740,12587,31349,317914.8899999996,401.5120099524706
20742,56,6726,12867.61,8.325899494498959
20743,6852,37888,165297.1299999999,180.84881756756758
20744,31497,54925,615052.9699999988,573.4547109695038
20745,12754,27790,230824.93999999977,458.9420654911839
20746,5612,27041,110835.93000000008,207.53670352427795
20747,9223,40484,156460.6300000003,227.8183973915621
20748,12089,38904,230580.97000000085,310.73925560353695
20751,943,2091,30918.42999999999,450.98039215686276
20754,1806,7124,52836.890000000014,253.50926445816958
20755,718,10873,13748.61,66.03513289800424
20758,169,451,6653.169999999999,374.72283813747225
20759,4003,5311,216717.4500000003,753.7186970438712
20762,160,3079,2821.08,51.96492367651835
20763,1067,1635,16640.289999999997,652.5993883792049
20764,1593,3829,58113.28999999995,416.03551841211805
20765,376,407,18800.06,923.8329238329238
20769,7457,6222,183612.53000000017,1198.4892317582771
20770,17073,24560,470197.8199999965,695.1547231270358
20772,24555,45321,701566.209999997,541.801813728735
20774,28133,47165,790564.2600000018,596.4804410049826
20776,1344,3271,43335.319999999985,410.8835218587588
20777,2707,3687,111532.35999999994,734.2012476267969
20778,1436,2079,39547.169999999984,690.7166907166908
20779,687,993,29339.599999999988,691.8429003021148
20781,5853,11694,231033.8899999996,500.5130836326321
20782,12863,33398,595571.0799999984,385.14282292352834
20783,5720,45302,339753.4999999998,126.26374111518254
20784,5749,30270,90245.51000000014,189.92401717872482
20785,11413,38878,374647.23999999976,293.55933947219506
20794,2890,17939,65081.25000000002,161.1015106750655
20812,416,309,82029.63,1346.2783171521035
20814,54366,29021,3840965.980000051,1873.333103614624
20815,77637,30664,9090681.019999975,2531.8614662144532
20816,35071,16316,3206491.790000002,2149.485167933317
20817,65357,37315,5935171.610000005,1751.4940372504354
20818,3976,1971,339569.6300000002,2017.250126839168
20832,15646,26437,505974.4099999999,591.8220675568332
20833,4572,7369,170021.89000000042,620.4369656669833
20837,4684,6287,155442.2500000004,745.0294257992683
20838,448,302,18843.38,1483.4437086092717
20839,462,97,11704.82,4762.886597938144
20841,4010,11443,161266.3100000001,350.4325788691777
20842,978,1676,55610.649999999994,583.5322195704057
20850,45289,53176,1625183.4800000193,851.6812095682262
20851,5030,15489,158464.17000000016,324.7465943572858
20852,48307,46178,1984718.029999996,1046.1042054658062
20853,19911,31061,556389.1599999968,641.0289430475516
20854,55150,49189,4750407.0800000075,1121.1856309337454
20855,10620,15287,442482.6699999997,694.70792176359
